,name,id,artist,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1462,Spirit In The Sky,0jvN7eQJJt4nxQzgQfZ1SP,Norman Greenbaum,classic rock,0.0994,0.609,0.617,0.00404,0.118,-7.091,0.0307,128.903,0.543
1463,Hurricane,0RbW8kWozrVSIGb4V13o0o,Kanye West,chicago rap,0.0466,0.587,0.561,0.0,0.109,-6.569,0.146,80.009,0.351
1464,Knee Deep (feat. Jimmy Buffett),0b2IVjeD268pYd7VUhmtKI,Zac Brown Band,contemporary country,0.432,0.715,0.584,1.41e-06,0.095,-8.231,0.0296,90.99,0.609
1465,Moon,2Rd4eJ4KwXQQn2sMSToyUM,Kanye West,chicago rap,0.898,0.319,0.236,1.62e-05,0.272,-9.644,0.0318,162.351,0.254
1466,Off The Grid,2gbMPBrBVj3CuNTLp2dHYs,Kanye West,chicago rap,0.0438,0.546,0.64,0.0,0.137,-5.582,0.37,137.728,0.63
1467,Kings & Queens,7a53HqqArd4b9NF4XAmlbI,Ava Max,dance pop,0.00786,0.637,0.69,0.0,0.124,-4.057,0.0405,129.857,0.457
1468,Jail,42ZrMq4BKsWDrrbMnMRYaK,Kanye West,chicago rap,0.535,0.458,0.571,0.000305,0.0846,-6.739,0.0949,110.013,0.586
1469,Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf,Mötley Crüe,glam metal,0.00125,0.359,0.981,0.00236,0.284,-3.622,0.303,178.98,0.271
1470,IMY2 (with Kid Cudi),7eqBsRv7eldDdDEA9MMl5C,Drake,canadian hip hop,0.382,0.572,0.477,0.00727,0.129,-8.784,0.0367,149.999,0.0574
1471,Kids,1jJci4qxiYcOHhQR247rEU,MGMT,alternative dance,0.00076,0.451,0.931,0.0049,0.361,-3.871,0.0719,122.961,0.172
1472,A-O-K,1sx0XsWUusUoPstbvokZjP,Tai Verdes,modern indie pop,0.125,0.731,0.626,0.0,0.183,-6.919,0.0805,82.488,0.862
1473,Knife Talk (with 21 Savage ft. Project Pat),38OxzrXfvFjyKWtgAkWdOK,Drake,canadian hip hop,0.12,0.852,0.358,2.2e-05,0.0714,-10.804,0.164,145.906,0.176
1474,Praise God,0Zm7NKJgoKY6ZWwtoEUILK,Kanye West,chicago rap,0.00904,0.798,0.545,9.48e-05,0.258,-6.466,0.168,118.029,0.212
1475,Kids,6ixkZ2Q9gQeh52C6GxbETg,Current Joys,indie pop,0.508,0.827,0.66,0.403,0.0756,-9.669,0.0337,113.449,0.904
1476,Kiwi,33SNO8AaciGbNaQFkxvPrW,Harry Styles,pop,0.00064,0.375,0.93,0.0,0.318,-2.631,0.0561,147.124,0.491
1477,Kaikai Kitan,6y4GYuZszeXNOXuBFsJlos,Eve,anime,0.0119,0.584,0.911,0.0,0.119,-3.515,0.09,92.502,0.606
1478,Killer (feat. Jack Harlow & Cordae) - Remix,7zl7kehxesNEo2pYkKXTSe,Eminem,detroit hip hop,0.0525,0.924,0.73,0.0,0.113,-6.125,0.274,99.01,0.848
1479,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ,J. Cole,conscious hip hop,0.482,0.829,0.527,0.0,0.631,-6.644,0.367,116.079,0.475
1480,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,electropop,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,115.284,0.12
1481,Kacey Talk,1SF8piqsZWn86DajVKih8F,YoungBoy Never Broke Again,baton rouge rap,0.535,0.877,0.607,0.0,0.138,-7.818,0.15,127.055,0.773
1482,King Kunta,0N3W5peJUQtI4eyR6GJT5O,Kendrick Lamar,conscious hip hop,0.00589,0.884,0.657,0.0,0.154,-4.569,0.0977,107.059,0.489
1483,Believe What I Say,73uxnSsFMeJ15POpd3zgrV,Kanye West,chicago rap,0.148,0.595,0.656,0.0,0.47,-7.868,0.247,99.811,0.416
1484,King For A Day,1IT0WQk5J8NsaeII8ktdlZ,Pierce The Veil,modern rock,3.81e-05,0.403,0.965,0.000276,0.341,-2.238,0.0964,112.363,0.431
1485,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,Tame Impala,australian psych,0.0115,0.64,0.74,0.00678,0.167,-4.083,0.0284,116.879,0.785
1486,Killer Queen - Remastered 2011,7GqWnsKhMtEW0nzki5o0d8,Queen,classic rock,0.379,0.535,0.65,0.0,0.14,-6.328,0.0554,117.188,0.61
1487,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,indietronica,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,0.965
1488,Keep Your Head Up,4Jz4bjXeiF2SXVj9P4YfY5,Andy Grammer,dance pop,0.0469,0.674,0.778,0.0,0.145,-5.367,0.0376,90.01,0.816
1489,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator",hip hop,0.371,0.558,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,0.62
1490,Killing Me Softly With His Song,0Q0IVlqMV64kNLlwjPj0Hl,Fugees,east coast hip hop,0.0279,0.765,0.29,0.0,0.571,-17.117,0.139,92.409,0.506
1491,Jonah,3gWzTnziivUYzqXtnvgN8q,Kanye West,chicago rap,0.795,0.459,0.431,0.0,0.274,-8.375,0.256,177.3,0.128
1492,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI,australian hip hop,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,0.478
1493,telepatía,6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,colombian pop,0.112,0.653,0.524,0.0,0.203,-9.016,0.0502,83.97,0.553
1494,KESI - Remix,0IqCoZ168iRc9LqfrYgpZy,Camilo,colombian pop,0.127,0.871,0.815,6.18e-06,0.094,-4.439,0.0477,122.959,0.823
1495,Ok Ok,4VYEnxm7lmtG5sEEbcmORB,Kanye West,chicago rap,0.319,0.738,0.471,1.28e-06,0.13,-9.208,0.402,107.98,0.283
1496,Heaven and Hell,2ZUJsR8HEktit58X6FuPQM,Kanye West,chicago rap,0.0409,0.764,0.422,0.0,0.152,-7.265,0.119,82.986,0.268
1497,The Spins,51pshtuYkgUQnt5huMPbKL,Mac Miller,hip hop,0.0135,0.794,0.766,0.0,0.0785,-3.894,0.0377,127.007,0.55
1498,Heather,4xqrdfXkTW4T0RauPLv3WA,Conan Gray,bedroom pop,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,102.078,0.27
1499,Remote Control,3SYLoL8KHxdQPYIkfwmUjN,Kanye West,chicago rap,0.0784,0.792,0.548,7.26e-05,0.167,-7.079,0.082,110.105,0.197
1500,Pure Souls,7up5MwPUHQdv4DkzQRHRWP,Kanye West,chicago rap,0.102,0.381,0.528,0.0,0.269,-6.997,0.0449,97.207,0.256
1501,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,Kane Brown,contemporary country,0.0469,0.727,0.626,2.58e-05,0.126,-8.415,0.0726,86.97,0.322
1502,Junya,1aF9TeHZbe6OVo9dtjPuzK,Kanye West,chicago rap,0.27,0.752,0.69,0.0,0.303,-3.948,0.0642,148.07,0.396
1503,Boys Will Be Bugs,6suYoN4gFkanqOBn5yRnJC,Cavetown,bedroom pop,0.00387,0.486,0.528,1.4e-05,0.106,-11.722,0.0463,178.519,0.452
1504,God is a woman,5OCJzvD7sykQEKHH7qAC3C,Ariana Grande,dance pop,0.0233,0.602,0.658,6e-05,0.237,-5.934,0.0558,145.031,0.268
1505,It Will Rain,0RUGuh2uSNFJpGMSsD1F5C,Bruno Mars,dance pop,0.337,0.576,0.835,0.0,0.082,-6.826,0.0486,150.017,0.476
1506,Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,Future,atl hip hop,0.337,0.722,0.331,0.282,0.146,-7.789,0.0726,143.961,0.102
1507,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,Surfaces,bedroom soul,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,0.694
1508,Woman,1M3XB6EUPUZy58Aqt6zbKr,Doja Cat,dance pop,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,0.881
1509,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid,atl hip hop,0.202,0.876,0.519,0.0,0.108,-6.531,0.143,94.981,0.158
1510,Airplanes (feat. Hayley Williams of Paramore),6lV2MSQmRIkycDScNtrBXO,B.o.B,atl hip hop,0.11,0.66,0.867,0.0,0.0368,-4.285,0.116,93.033,0.377
1511,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,Bon Jovi,glam metal,0.0778,0.532,0.887,0.000214,0.294,-3.757,0.0335,122.511,0.795
1512,POWER,2gZUPNdnz5Y45eiGxpHGSc,Kanye West,chicago rap,0.0161,0.542,0.914,0.0,0.744,-4.747,0.113,153.993,0.576
1513,While We're Young,4mL59LVbKgOpEACxraGYdr,Jhené Aiko,alternative r&b,0.104,0.649,0.791,1.97e-06,0.108,-6.013,0.193,128.023,0.811
1514,What Once Was,1XrSjpNe49IiygZfzb74pk,Her's,indie garage rock,0.172,0.526,0.877,0.0108,0.223,-4.369,0.033,145.568,0.436
1515,What You Know,3UjtIALeg72qmJiKPWBvM3,Two Door Cinema Club,alternative dance,0.000715,0.561,0.741,1.4e-05,0.0822,-4.239,0.0419,139.001,0.776
1516,Weight On Me,6A4hgJdwriera4WSUl4moW,Sheff G,brooklyn drill,0.707,0.801,0.533,4.28e-05,0.125,-6.198,0.222,121.959,0.626
1517,The Thrill,4wqzOaLxiCRy2Et8tRyNSX,Wiz Khalifa,dance pop,0.277,0.817,0.775,0.0,0.108,-4.767,0.108,126.984,0.806
1518,Weak,5DZwnLxHjWTZaz9jOpRhxb,AJR,modern rock,0.118,0.67,0.643,0.0,0.192,-4.553,0.0465,123.979,0.703
1519,Say It Ain't So,6VoIBz0VhCyz7OdEoRYDiA,Weezer,alternative rock,0.00737,0.634,0.551,1.82e-05,0.07,-7.136,0.0352,151.779,0.453
1520,Way Less Sad,4jbtL4tjkqghUvJknUqU1s,AJR,modern rock,0.00843,0.701,0.547,0.0,0.0987,-8.238,0.0483,140.015,0.4
1521,Je te laisserai des mots,0V5cvmTKsYmF5FmGGEAfmS,Patrick Watson,chamber pop,0.989,0.303,0.187,0.489,0.101,-16.757,0.0356,132.731,0.213
1522,Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,Creedence Clearwater Revival,classic rock,0.201,0.64,0.663,0.00806,0.152,-7.516,0.0374,132.77,0.663
1523,7 Summers,4obHzpwGrjoTuZh2DItEMZ,Morgan Wallen,contemporary country,0.417,0.466,0.786,6.1e-05,0.125,-5.13,0.0328,203.903,0.571
1524,Fiel - Remix,43qcs9NpJhDxtG91zxFkj7,Wisin,latin,0.398,0.839,0.711,2.02e-06,0.118,-4.733,0.0473,97.99,0.573
1525,good wife,64PsLB0bc1LJoZwogWO3ok,Kacey Musgraves,contemporary country,0.429,0.523,0.582,0.000312,0.116,-9.215,0.0619,167.725,0.361
1526,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,acoustic pop,0.595,0.686,0.457,0.0,0.105,-8.322,0.0468,150.953,0.718
1527,Whitehouse Road,0fbR95FEaJUxiQYaqZZukv,Tyler Childers,kentucky indie,0.114,0.607,0.739,0.000234,0.192,-5.503,0.0274,84.467,0.875
1528,Legends,1Knctxx9vGZxpZfF66BIEa,Juice WRLD,chicago rap,0.115,0.594,0.798,0.0,0.143,-5.244,0.0844,142.049,0.381
1529,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,Billie Eilish,electropop,0.39,0.853,0.351,9.38e-06,0.752,-10.198,0.241,118.028,0.282
1530,Roses - Imanbek Remix,0zLCBJZSiELJf02ucPP9wb,SAINt JHN,melodic rap,0.0143,0.769,0.719,0.00777,0.359,-5.472,0.0474,121.955,0.863
1531,Toxic,6I9VzXrHxO9rA9A5euc8Ak,Britney Spears,dance pop,0.0249,0.774,0.838,0.025,0.242,-3.914,0.114,143.04,0.924
1532,With You I Am,34SQ0QfLSR316d8KL2zkuZ,Cody Johnson,contemporary country,0.403,0.559,0.665,0.0,0.14,-6.233,0.027,75.023,0.397
1533,IV. Sweatpants,00GOPLxW4PGQuUYdPJh8K1,Childish Gambino,atl hip hop,0.154,0.71,0.47,0.0,0.643,-9.33,0.142,80.027,0.581
1534,I Should Probably Go To Bed,5ovVcYo2MvjVydFwFyaaqy,Dan + Shay,contemporary country,0.634,0.721,0.277,0.0,0.112,-7.128,0.0365,131.935,0.309
1535,Modern Day,2Igem6Q4sfvXGJ3JkG7Baw,Migos,atl hip hop,0.173,0.87,0.629,0.0,0.101,-7.598,0.279,134.944,0.512
1536,Where Is My Mind? - Remastered,7wCmS9TTVUcIhRalDYFgPy,Pixies,alternative rock,0.0204,0.519,0.441,0.000453,0.076,-14.178,0.0353,81.334,0.25
1537,I Get That With You,6o0sttjutkWGYefP7OsaYX,Josh Melton,country pop,0.0251,0.617,0.802,0.0,0.206,-6.728,0.0347,106.011,0.425
1538,This Is What You Came For (feat. Rihanna),0azC730Exh71aQlOt9Zj3y,Calvin Harris,dance pop,0.199,0.631,0.927,0.119,0.148,-2.787,0.0332,123.962,0.465
1539,gone girl,3iH29NcCxYgI5shlkZrUoB,iann dior,melodic rap,0.162,0.677,0.714,0.0,0.0717,-5.637,0.0287,94.956,0.355
1540,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,Billie Eilish,electropop,0.462,0.678,0.533,0.219,0.139,-10.485,0.186,150.455,0.323
1541,"I Like It, I Love It",3IvcWWehbBcBR4YZxlGM9R,Tim McGraw,contemporary country,0.0196,0.643,0.961,0.0,0.948,-5.298,0.0315,124.027,0.96
1542,Follow You,7FdUvDkaE24o3FPIWTvzv2,Imagine Dragons,modern rock,0.00209,0.542,0.732,7.92e-05,0.496,-5.956,0.0521,124.912,0.489
1543,RIP Young,6BiCjPFN5rM9JPy5eP5mCs,Isaiah Rashad,hip hop,0.0476,0.971,0.677,2.22e-05,0.112,-6.895,0.092,120.027,0.58
1544,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,Justin Bieber,canadian pop,0.3,0.806,0.546,0.0,0.102,-6.637,0.0575,147.986,0.874
1545,ILoveUIHateU,1BpKJw4RZxaFB88NE5uxXf,Playboi Carti,atl hip hop,0.00534,0.684,0.693,0.0,0.506,-6.651,0.0339,134.988,0.108
1546,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,SZA,pop,0.112,0.795,0.594,0.0,0.162,-6.2,0.0748,135.002,0.409
1547,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),7z4xW9WY86uH3gd1V9pfCM,"Tyler, The Creator",hip hop,0.0195,0.827,0.571,0.0,0.166,-7.949,0.366,142.034,0.62
1548,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,Harry Styles,pop,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,0.557
1549,Best Friend,47Bg6IrMed1GPbxRgwH2aC,Rex Orange County,bedroom pop,0.395,0.575,0.714,0.0,0.115,-5.247,0.0596,144.982,0.32
1550,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,Lil Mosey,melodic rap,0.207,0.774,0.554,0.0,0.132,-7.909,0.0383,99.034,0.349
1551,Falling for U,2xhGZ3WzOa3tir28y7Cb88,Peachy!,lo-fi beats,0.748,0.719,0.36,2.18e-06,0.0812,-12.034,0.398,80.184,0.409
1552,More Than a Feeling,1QEEqeFIZktqIpPI4jSVSF,Boston,album rock,0.00088,0.377,0.681,0.0023,0.0504,-8.039,0.0298,108.789,0.285
1553,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,dance pop,0.047,0.643,0.783,0.0,0.083,-6.458,0.0856,154.084,0.579
1554,Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,Flo Rida,dance pop,0.0928,0.918,0.609,0.0,0.139,-5.64,0.0791,128.008,0.304
1555,Essence (feat. Justin Bieber & Tems),1mSdbey7RstGLY2udgXv74,WizKid,afro dancehall,0.0159,0.835,0.691,1.44e-05,0.108,-5.828,0.113,103.999,0.581
1556,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,MGMT,alternative dance,0.0709,0.763,0.803,0.285,0.348,-3.713,0.0351,103.04,0.561
1557,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,canadian hip hop,0.101,0.831,0.502,0.0,0.122,-4.045,0.046,100.541,0.101
1558,If the World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,JP Saxe,alt z,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,75.801,0.604
1559,Fiel,7Bk0uXKk1uPT0XuQbpFzvs,Los Legendarios,reggaeton,0.407,0.849,0.701,0.0,0.112,-4.407,0.06,98.005,0.505
1560,Male Fantasy,4ak9GGe6afmi2HbxEjvhIC,Billie Eilish,electropop,0.863,0.687,0.288,0.0,0.0986,-10.415,0.045,110.927,0.308
1561,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,DJ Khaled,hip hop,0.057,0.8,0.56,0.0,0.134,-4.818,0.261,163.071,0.45
1562,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,Lil Baby,atl hip hop,0.217,0.877,0.517,0.0,0.143,-5.426,0.0706,119.996,0.255
1563,No Time For Sleep (Freestyle),50xlqNticOjNCnR192H1YJ,Bobby Shmurda,nyc rap,0.00844,0.79,0.725,0.0,0.138,-5.643,0.418,170.062,0.264
1564,Nostálgico,2BEcap3xJtmiPaHKyfQi4e,Rvssian,latin,0.166,0.734,0.846,1.74e-06,0.235,-3.425,0.0489,98.026,0.604
1565,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,Khalid,pop,0.606,0.551,0.44,3.02e-05,0.11,-8.559,0.0985,167.923,0.341
1566,In the Name of Love,23L5CiUhw2jV1OIMwthR3S,Martin Garrix,dance pop,0.109,0.501,0.519,0.0,0.454,-5.88,0.0409,133.99,0.168
1567,Numb / Encore,5sNESr6pQfIhL3krM8CtZn,JAY-Z,east coast hip hop,0.0603,0.687,0.793,0.0,0.582,-4.254,0.166,107.045,0.751
1568,Paris,6tO5bxNnMuh1c3cziSpecA,$uicideboy$,dark trap,0.0706,0.849,0.648,0.00636,0.0984,-6.188,0.0835,106.058,0.195
1569,Nowadays (feat. Landon Cube),2u7mxWSeoqTXndK5e08jMp,Lil Skies,melodic rap,0.157,0.745,0.646,0.0,0.338,-6.987,0.17,79.993,0.46
1570,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,Lil Baby,atl hip hop,0.0677,0.753,0.686,0.0,0.193,-5.415,0.284,132.055,0.886
1571,Rake It Up (feat. Nicki Minaj),4knL4iPxPOZjQzTUlELGSY,Yo Gotti,dirty south rap,0.022,0.91,0.444,0.0,0.137,-8.126,0.344,149.953,0.53
1572,Nobody But You (Duet with Gwen Stefani),5M8goiFYynmNxhueYW6grR,Blake Shelton,contemporary country,0.111,0.463,0.653,0.000136,0.172,-5.515,0.0273,143.912,0.233
1573,Nikes,19YKaevk2bce4odJkP5L22,Frank Ocean,alternative r&b,0.695,0.543,0.394,0.000239,0.108,-9.637,0.0864,137.811,0.118
1574,My Name Is,75IN3CtuZwTHTnZvYM4qnJ,Eminem,detroit hip hop,0.0416,0.869,0.68,1.12e-06,0.0914,-6.233,0.318,85.519,0.815
1575,Norf Norf,4uQ7wYsuL0DryknoDc11Hk,Vince Staples,conscious hip hop,0.396,0.925,0.549,0.000154,0.11,-6.572,0.0656,100.014,0.0904
1576,Otra Noche Sin Ti,6xvaSd27eSA5kQlFRYhWZF,J Balvin,latin,0.0801,0.501,0.548,0.000408,0.118,-7.573,0.182,93.966,0.488
1577,Final Warning,3LVcKphzONOdQ2EATazlZq,NLE Choppa,memphis hip hop,0.0781,0.847,0.912,0.0,0.142,-3.129,0.257,81.486,0.88
1578,Me and Julio Down by the Schoolyard,6vxHp3CDNo0afgKGp2yi1E,Paul Simon,classic rock,0.237,0.626,0.816,1.8e-06,0.104,-10.593,0.131,105.307,0.798
1579,Fly N Ghetto,5PLe67zeDKnMamxEZi9LrA,Ayo & Teo,social media pop,0.359,0.907,0.59,3.47e-05,0.107,-6.941,0.115,99.982,0.407
1580,Not Good At Not,5V4Sx4VKnHwyM6CjZnfce2,Morgan Wallen,contemporary country,0.242,0.557,0.814,0.0,0.114,-3.241,0.0325,143.935,0.582
1581,needy,1TEL6MlSSVLSdhOSddidlJ,Ariana Grande,dance pop,0.78,0.647,0.309,7.41e-06,0.202,-7.948,0.0366,87.045,0.195
1582,Never Too Late,3HE50TVRquwXe9yv2HFoNL,Three Days Grace,alternative metal,0.00838,0.433,0.778,0.0,0.163,-4.68,0.0371,149.864,0.217
1583,WE ENVY NOTHING IN THE WORLD.,53SiIWzvx7vKzLmAHrZwog,$uicideboy$,dark trap,0.000763,0.714,0.716,0.000117,0.425,-6.029,0.152,80.465,0.398
1584,We're Not Gonna Take It,1hlveB9M6ijHZRbzZ2teyh,Twisted Sister,album rock,0.0127,0.502,0.924,0.0,0.162,-6.299,0.0503,149.186,0.922
1585,Monsters (feat. Demi Lovato and blackbear),50DMJJpAeQv4fIpxZvQz2e,All Time Low,modern rock,0.0137,0.51,0.787,0.0,0.368,-3.712,0.0529,162.092,0.793
1586,Boredom (feat. Rex Orange County & Anna of the North),5WNYg3usc6H8N3MBEp4zVk,"Tyler, The Creator",hip hop,0.79,0.559,0.578,0.000522,0.324,-9.54,0.151,79.938,0.239
1587,la di die (feat. jxdn),3RLshk3cDQOqWhSIRCVaXL,Nessa Barrett,alt z,0.0036,0.484,0.643,0.0,0.243,-4.72,0.0416,163.97,0.345
1588,Bubblegum Bitch,0ZFBKLOZLIM16RAUb5eomN,MARINA,dance pop,0.000219,0.495,0.856,0.0,0.103,-5.123,0.0311,158.024,0.609
1589,Better Not (with Wafia),7n1940b6kHcaEewFSZXnXa,Louis The Child,edm,0.278,0.783,0.537,0.0,0.229,-2.921,0.0795,113.988,0.393
1590,h u n g e r . o n . h i l l s i d e (with Bas),5BwQjRasNcdRPuVWKcHto2,J. Cole,conscious hip hop,0.126,0.563,0.703,0.0,0.213,-5.756,0.0702,94.983,0.294
1591,Remember the Name (feat. Styles of Beyond),6ndmKwWqMozN2tcZqzCX4K,Fort Minor,rap rock,0.0583,0.688,0.835,2.87e-06,0.0795,-4.162,0.0911,84.858,0.88
1592,North Memphis,0SzDVyiiUDpuhzrphnoejr,Pharmacist,aesthetic rap,0.000136,0.716,0.942,0.836,0.0663,-6.116,0.0565,167.371,0.899
1593,Nightmare,340UVheS8z3ncW9TTUhAbc,Halsey,dance pop,0.0188,0.611,0.622,0.0,0.359,-5.075,0.0734,146.11,0.538
1594,Run It Up (feat. Sleepy Hallow & A Boogie Wit Da Hoodie),1GjWE4T7qZNeIy1hgm98R9,Sheff G,brooklyn drill,0.714,0.597,0.522,0.0,0.0871,-10.825,0.247,93.511,0.714
1595,Rookie Of The Year,7aVjnFsARHuTBZzkR6rYOR,Moneybagg Yo,hip hop,0.000884,0.881,0.529,0.000167,0.124,-7.398,0.422,87.996,0.223
1596,Every Rose Has Its Thorn - Remastered 2003,43GS3mtezoIFiuIZCLLiDY,Poison,album rock,0.16,0.533,0.637,1.12e-05,0.369,-5.571,0.0323,140.167,0.292
1597,Black Dog - Remaster,3qT4bUD1MaWpGrTwcvguhb,Led Zeppelin,album rock,0.396,0.437,0.864,0.0314,0.242,-7.842,0.0904,81.394,0.749
1598,Runnin' Down A Dream,5yAu4njFSdM47dfsTkQPZ2,Tom Petty,album rock,0.000596,0.471,0.956,0.62,0.624,-6.371,0.0403,169.798,0.715
1599,Rescue,7r9kOxiNDnkAg5QKqtyjVk,Lauren Daigle,ccm,0.78,0.293,0.237,0.0,0.11,-8.17,0.0284,92.935,0.108
1600,Love Tonight - David Guetta Remix Edit,2prnn41CblB8B4yWACDljP,Shouse,aussietronica,0.015,0.621,0.989,0.357,0.184,-4.225,0.0434,126.002,0.0348
1601,Reminder,37F0uwRSrdzkBiuj0D5UHI,The Weeknd,canadian contemporary r&b,0.142,0.706,0.505,0.0,0.164,-6.923,0.193,160.053,0.388
1602,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,Juice WRLD,chicago rap,0.0381,0.742,0.579,0.0,0.0952,-5.024,0.202,144.994,0.502
1603,Slow Dancing in a Burning Room,2jdAk8ATWIL3dwT47XpRfu,John Mayer,neo mellow,0.575,0.667,0.361,0.00506,0.0805,-8.69,0.0273,134.018,0.29
1604,Running on Empty,6aqm56xP40foYBBtAWWrnY,Jackson Browne,album rock,0.0635,0.541,0.711,0.0201,0.719,-13.492,0.0383,136.58,0.588
1605,Música Romántica,0gOwkN1piWLMINfj97SogV,Pancho Barraza,banda,0.231,0.677,0.455,0.0,0.101,-7.123,0.0708,159.941,0.817
1606,REDNECKER,0YVdTI4w1BEqSjGNXcRjX1,HARDY,contemporary country,0.0506,0.537,0.751,9.63e-05,0.1,-5.472,0.0344,143.962,0.51
1607,You Right - Extended,4rmwWGh87KY0ouByBEh1zC,Doja Cat,dance pop,0.0158,0.837,0.567,0.00139,0.118,-6.709,0.0649,129.001,0.502
1608,Better Than You’re Used To,7stizS5H8h8ABU390mkhZC,Tyler Rich,contemporary country,0.106,0.586,0.817,0.0,0.319,-5.352,0.0621,143.949,0.593
1609,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",4X5f3vT8MRuXF68pfjNte5,A$AP Rocky,east coast hip hop,0.0239,0.853,0.693,0.0,0.11,-6.87,0.275,95.967,0.662
1610,Record Player (with AJR),4jYt1pQqg2mIZmY4FWCZEM,Daisy the Great,brooklyn indie,0.247,0.665,0.684,0.0,0.0636,-7.049,0.106,73.986,0.927
1611,Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,Bruno Mars,dance pop,0.0185,0.704,0.859,0.0,0.0215,-4.877,0.0996,105.115,0.926
1612,Internet Ruined Me,2Q1s11otlyEtj80OgsqDFz,Wilbur Soot,dream smp,0.724,0.726,0.371,0.00299,0.132,-14.008,0.0623,160.24,0.568
1613,Real Love Baby,0Z57YWES04xGh3AImDz6Qr,Father John Misty,indie folk,0.0955,0.417,0.686,0.0287,0.0989,-6.484,0.0373,204.113,0.625
1614,Old Town Road,0F7FA14euOIX8KcbEturGH,Lil Nas X,lgbtq+ hip hop,0.0578,0.907,0.53,2.23e-06,0.101,-6.112,0.127,135.998,0.507
1615,90210 (feat. Kacy Hill),51EC3I1nQXpec4gDk0mQyP,Travis Scott,rap,0.113,0.402,0.526,8.33e-06,0.105,-6.741,0.0904,81.404,0.312
1616,Borderline,5hM5arv9KDbCHS0k9uqwjr,Tame Impala,australian psych,0.0406,0.621,0.873,9.1e-06,0.0824,-3.067,0.0369,97.96,0.873
1617,GOODMORNINGTOKYO!,0Q2n5yzl2XRqYbV77tZNYp,TOKYO’S REVENGE,meme rap,0.0408,0.907,0.539,0.0,0.253,-7.782,0.36,124.918,0.664
1618,End Of The Road,24BNgrtp6Fag4M5BQPEgsV,Juice WRLD,chicago rap,0.0568,0.373,0.717,0.0,0.114,-5.833,0.083,109.977,0.293
1619,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,Taylor Swift,pop,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,0.111
1620,Blackbird - Remastered 2009,5jgFfDIR6FR0gvlA56Nakr,The Beatles,beatlesque,0.754,0.686,0.127,1.41e-05,0.0573,-14.361,0.0342,93.699,0.372
